id,name,mimeType,parents
1_TopSVwi1dl0I0rxQtL35EMJVKIFmUVT,jlkdsjf lal dkfjlads jlfa jsldfj lad fsdj fsld,application/vnd.google-apps.folder,1cpo-7jgKSMdde-QrEJGkGxN1QvYdzP9V
1zm8hBtOf0U2q5FCZPHTUbaz7SygvpLAG,jksfjkdfkshdkfjhakdf jdsh fkasd fh ksad,application/vnd.google-apps.folder,1cpo-7jgKSMdde-QrEJGkGxN1QvYdzP9V
1w-AtGwEhTGBpPPsZTMwZhhL_FdO-7ZPx,7828989234892349234923,application/vnd.google-apps.folder,1cpo-7jgKSMdde-QrEJGkGxN1QvYdzP9V
1UQtZjZoCWY_MWJfUEJLBPSu5dIG1uCb1,89324982734982839423,application/vnd.google-apps.folder,1cpo-7jgKSMdde-QrEJGkGxN1QvYdzP9V
1KB4ToVZGHvL-aq9MmW0QnIZaxKMPuRRD,8923049823402394809238402384023,application/vnd.google-apps.folder,1cpo-7jgKSMdde-QrEJGkGxN1QvYdzP9V
1YDNNWV1VtBOCnJ4ApuJzb54ghWUYTnFk,273849238492304329423,application/vnd.google-apps.folder,1cpo-7jgKSMdde-QrEJGkGxN1QvYdzP9V
1pQ1BJA3Gfxtl9HHLSyaUIRzzRw5EuwN4,834289489234348329423984723,application/vnd.google-apps.folder,1I3goMVWRO8c-U2JssQgKqDWxHT8DayOO
1I3goMVWRO8c-U2JssQgKqDWxHT8DayOO,732894789274982798423,application/vnd.google-apps.folder,1aO2sMXQxSKe5hel1V8vI4OJLTEXB5LBx
1O6nqddAG-BQ6UdKMM2AR_Y7L6wmCSA7C,7849827398472394923423,application/vnd.google-apps.folder,1LetpKDAVe4C8kDl0GaFLmw8-ZGJpOrqL
1tnHud17er29GLUqlmQHDO7CwmW0BzSKY,73894732984932492347892349823,application/vnd.google-apps.folder,1BmLDffgux4PpS1ZWMjYeHbV9q6Cvmchr
1BmLDffgux4PpS1ZWMjYeHbV9q6Cvmchr,78794723987492374923423,application/vnd.google-apps.folder,1oibo-5UAAraiHNYHy-G49lzH8FpWeL-m
1LetpKDAVe4C8kDl0GaFLmw8-ZGJpOrqL,83848923748973984239423,application/vnd.google-apps.folder,1GhFw8gAdyd_B7IF99wJkaiO1CukzmG91
1aO2sMXQxSKe5hel1V8vI4OJLTEXB5LBx,78237489237498723947293,application/vnd.google-apps.folder,1g_PZjzxlq85vVfGh2uSaXcpR0JiO9YXu
1oibo-5UAAraiHNYHy-G49lzH8FpWeL-m,87389274982379842397492834,application/vnd.google-apps.folder,114_13vKBcDb0hsiDJRbQFhYjnf8rxXe3
1GhFw8gAdyd_B7IF99wJkaiO1CukzmG91,87298347923749239847239423,application/vnd.google-apps.folder,114_13vKBcDb0hsiDJRbQFhYjnf8rxXe3
1g_PZjzxlq85vVfGh2uSaXcpR0JiO9YXu,87893749838493298423,application/vnd.google-apps.folder,114_13vKBcDb0hsiDJRbQFhYjnf8rxXe3
114_13vKBcDb0hsiDJRbQFhYjnf8rxXe3,887839274923042304798237492342,application/vnd.google-apps.folder,1_qExfwR0qTNfAypvPcG32rKJoV3QTZF5
1_qExfwR0qTNfAypvPcG32rKJoV3QTZF5,739492349823984729423,application/vnd.google-apps.folder,1HXd-d5M_lX1hspyPOjUxqviVgBzZUzqT
107Y8NRPDyjvnl5uHii05-wQibb41Phtc,84832784284092384923842,application/vnd.google-apps.folder,1koFo1cE_olSJi6XXpl8_BMTW2hAJWmnK
1koFo1cE_olSJi6XXpl8_BMTW2hAJWmnK,834028048230423,application/vnd.google-apps.folder,1y4bA1pfwCNxxP43GAU_xxDri83QszUgX
1y4bA1pfwCNxxP43GAU_xxDri83QszUgX,8728379287438493842,application/vnd.google-apps.folder,1Y31uAswuLioZFC7BffbxQjELM7TD7iTI
1Y31uAswuLioZFC7BffbxQjELM7TD7iTI,784789238402398472394723,application/vnd.google-apps.folder,1pwY6ItuAqWtz41R_G9P_6tTBnZFhwHMK
1pwY6ItuAqWtz41R_G9P_6tTBnZFhwHMK,782472374283482398749374923,application/vnd.google-apps.folder,1VyfAhYrz-qYEwjKlbys36nPpGKO3SXVV
1Tfkp0qvjNfAsqgCL5NbVovv9pa43QEsx,7374237984832423,application/vnd.google-apps.folder,17RUxpIIq7TATPx3D91N6M-_LJibIEYjh
1VyfAhYrz-qYEwjKlbys36nPpGKO3SXVV,834892749238047437854398840923,application/vnd.google-apps.folder,17RUxpIIq7TATPx3D91N6M-_LJibIEYjh
17RUxpIIq7TATPx3D91N6M-_LJibIEYjh,892348893249823742390480293423,application/vnd.google-apps.folder,1qAkqpf43XY659M_e0px90hd8ezs5AVNO
1qAkqpf43XY659M_e0px90hd8ezs5AVNO,832894293498234723423,application/vnd.google-apps.folder,1YDbXmY6N6Ms_gBAzEjymowWzL6u3_s_s
1HXd-d5M_lX1hspyPOjUxqviVgBzZUzqT,87823492384923984792342,application/vnd.google-apps.folder,1TUqjTltqv7laEnW5XX5_KyS9MjAW8C63
1YDbXmY6N6Ms_gBAzEjymowWzL6u3_s_s,873892423804230423423,application/vnd.google-apps.folder,1fN3864kuhokKxyrMyqKtHWfsYXeb16_W
1iic9zmDa0S_tCKenwbaDDkshvOB5mlad,8928483748972398432,application/vnd.google-apps.folder,1fN3864kuhokKxyrMyqKtHWfsYXeb16_W
1fN3864kuhokKxyrMyqKtHWfsYXeb16_W,8384823423984230423,application/vnd.google-apps.folder,1NCZWH2DbZEgLn4vJDDA7M8xp5e-IhR8_
1cYo1wzm8Q1se3jI55BplPwDtk6g0DLKj,7389794237497239423,application/vnd.google-apps.folder,1pwG7FQpa_6yktiOQ11kzC2jLObhVpq6t
1NCZWH2DbZEgLn4vJDDA7M8xp5e-IhR8_,8923840928943928432,application/vnd.google-apps.folder,1pwG7FQpa_6yktiOQ11kzC2jLObhVpq6t
1pwG7FQpa_6yktiOQ11kzC2jLObhVpq6t,89238409289439884023423,application/vnd.google-apps.folder,1CG2BKOe5Gf6D77bWe4AS2a24hiFVpWPK
1Xy1t9Io20mFg1aqP-fPpUTeTovYSeFYa,8239048230984032,application/vnd.google-apps.folder,1CG2BKOe5Gf6D77bWe4AS2a24hiFVpWPK
1TUqjTltqv7laEnW5XX5_KyS9MjAW8C63,89382490820480 840389423,application/vnd.google-apps.folder,1cpo-7jgKSMdde-QrEJGkGxN1QvYdzP9V
1wumN-cvl4N8PjVAOuHmege1cKoi0Xzos,8923480928409284 234,application/vnd.google-apps.folder,1cpo-7jgKSMdde-QrEJGkGxN1QvYdzP9V
1CG2BKOe5Gf6D77bWe4AS2a24hiFVpWPK,2382084029480328402398402938 40,application/vnd.google-apps.folder,1cpo-7jgKSMdde-QrEJGkGxN1QvYdzP9V
1n7f3kRF_Q0EtwBr2Q59A4M1_BjGtN3q_,23848239048028432,application/vnd.google-apps.folder,1TUqjTltqv7laEnW5XX5_KyS9MjAW8C63
1aqXK9Pa4tFdFHNMkSe44Yn-eISvi3tk6,238248390432,application/vnd.google-apps.folder,1TUqjTltqv7laEnW5XX5_KyS9MjAW8C63
